_MODEL_;_PRICE_;_QUANTITY_
13169;295.00;3
12796;395.00;1
10745;595.00;4
12871;195.00;6
12604;185.00;2
12959;275.00;10
12961;165.00;4
11734;235.00;1
12966;325.00;3
12389;195.00;2
13179;155.00;2
11621;185.00;2
13182;389.00;1
13907;88.00;2
13850;129.00;1
13904;88.00;1
13903;109.00;1
13901;119.00;1
13900;199.00;1
13906;199.00;2
13898;129.00;1
10898;225.00;1
10884;355.00;6
10882;415.00;4
11466;325.00;5
10890;320.00;4
10864;430.00;1
13373;295.00;2
12964;235.00;6
12967;345.00;5
12695;139.00;24
11855;289.00;3
11182;539.00;7
11397;350.00;4
12845;245.00;6
12150;225.00;5
12151;175.00;5
13778;790.00;1
12149;275.00;5
10674;249.00;2
12948;99.00;14
12899;475.00;2
10828;150.00;1
10880;120.00;1
13782;265.00;1
11931;125.00;12
11721;155.00;2
12898;205.00;5
12904;215.00;1
13377;1250.00;1
10478;800.00;1
11932;385.00;3
11935;420.00;3
11014;210.00;1
13298;430.00;1
12410;950.00;2
11726;575.00;2
13431;585.00;2
12941;455.00;5
12837;455.00;6
12413;285.00;7
10500;65.00;7
10499;85.00;17
13676;95.00;1
10472;310.00;1
11540;105.00;1
11549;135.00;1
11547;115.00;1
11546;95.00;2
11566;125.00;1
11569;115.00;1
11552;175.00;1
12848;245.00;6
12918;285.00;2
11024;325.00;3
13944;795.00;1
13143;229.00;5
11596;285.00;1
11737;220.00;1
12324;125.00;5
12500;445.00;1
13419;550.00;1
10723;1200.00;4
13480;780.00;1
10787;150.00;4
10791;100.00;94
10789;125.00;3
11947;175.00;9
12881;255.00;3
11710;315.00;1
10717;190.00;25
10718;210.00;21
10719;240.00;16
13939;4.00;582
40102;6.00;50
12404;19.00;40
40103;16.00;23
40104;18.00;20
13941;2.50;966
11109;65.00;1
11115;89.00;1
11112;89.00;1
11128;99.00;9
13587;89.00;5
12353;105.00;4
13579;110.00;1
13585;145.00;1
11129;99.00;4
13950;45.00;7
11903;55.00;5
13949;53.00;13
11900;59.00;1
11113;59.00;4
13940;3.00;628
12688;6.00;40
13501;175.00;4
13499;175.00;6
13500;175.00;1
13130;175.00;3
13132;175.00;3
30023;95.00;3
10689;69.00;24
11500;125.00;49
13213;175.00;2
13133;175.00;2
13131;175.00;4
10759;495.00;2
13103;275.00;5
13101;245.00;5
13006;229.00;5
13104;325.00;5
13100;295.00;1
13102;295.00;3
10323;850.00;1
40078;990.00;1
11173;285.00;4
11785;230.00;7
10310;305.00;6
10309;145.00;7
13164;585.00;6
10931;89.00;7
10799;130.00;6
12786;225.00;6
30022;70.00;15
12861;95.00;2
12135;295.00;7
40099;259.00;4
13126;219.00;4
13129;219.00;3
10119;219.00;1
10166;139.00;6
10147;139.00;6
13978;139.00;2
10138;139.00;5
10163;139.00;6
10149;139.00;6
13979;139.00;3
10148;135.00;3
10154;135.00;5
10139;139.00;4
10165;139.00;6
10167;139.00;4
10141;139.00;6
10150;139.00;7
10144;139.00;6
10169;139.00;7
12617;139.00;6
10146;139.00;6
10143;139.00;6
13609;139.00;7
12341;139.00;4
10140;139.00;4
10145;139.00;7
10164;139.00;5
10142;139.00;4
12614;139.00;2
12629;139.00;8
12339;139.00;6
12340;139.00;5
10153;139.00;1
12615;139.00;7
12618;135.00;5
10162;139.00;6
10168;139.00;4
10151;139.00;5
12342;139.00;7
10173;139.00;3
13976;139.00;2
12343;139.00;7
10157;139.00;3
10155;135.00;1
13977;139.00;1
10171;139.00;1
12616;135.00;4
10170;139.00;7
12628;139.00;7
13537;399.00;8
12942;105.00;1
12381;165.00;8
12925;185.00;4
11381;285.00;2
10616;150.00;1
11548;135.00;1
12926;155.00;3
10432;150.00;1
12421;165.00;9
13780;249.00;5
12847;85.00;18
12846;135.00;8
10089;32.00;12
10090;38.00;43
10091;42.00;78
10092;44.00;26
10093;49.00;15
10200;25.00;21
10201;29.00;21
10202;30.00;33
11861;47.00;43
10203;53.00;14
40135;14.00;25
10186;16.00;23
10187;18.00;60
10188;20.00;51
10189;22.00;56
13084;24.00;33
10190;24.00;71
10191;26.00;18
10193;38.00;14
10194;32.00;18
10245;39.00;18
40069;48.00;24
10246;69.00;19
10248;72.00;28
13123;75.00;20
40136;72.00;25
10249;159.00;14
11786;22.00;19
10232;31.00;41
10233;35.00;45
10235;41.00;80
10236;44.00;89
10237;53.00;91
10238;58.00;56
10239;71.00;49
10240;74.00;12
10241;83.00;12
10242;85.00;20
10243;94.00;6
10244;89.00;13
12936;115.00;1
11787;24.00;16
11483;26.00;3
10207;3.00;24
10209;5.00;30
10348;65.00;10
40049;4.00;100
10230;56.00;2
10216;24.00;38
10217;26.00;28
10218;29.00;35
10219;35.00;36
10220;38.00;39
10221;43.00;29
13714;17.00;25
12979;40.00;4
12978;45.00;28
12977;52.00;13
12976;58.00;47
13157;62.00;37
13732;39.00;5
12876;219.00;2
11312;159.00;2
11313;169.00;6
11315;229.00;1
11316;299.00;1
11317;349.00;1
11318;439.00;1
11319;320.00;2
11320;559.00;4
11334;269.00;1
11335;299.00;4
11336;359.00;3
11337;429.00;3
11338;519.00;1
11340;589.00;1
11341;399.00;4
11302;159.00;2
11303;169.00;2
11305;229.00;2
11306;299.00;2
11307;349.00;2
11308;439.00;2
11309;499.00;1
11310;559.00;3
11324;269.00;1
11325;299.00;1
11326;359.00;1
11329;569.00;1
12607;199.00;4
10204;24.00;9
10205;27.00;3
10250;43.00;19
10251;45.00;3
10253;53.00;24
11851;65.00;14
12117;450.00;7
12855;285.00;1
11413;1950.00;2
10720;449.00;1
40047;249.00;1
12773;155.00;2
10079;65.00;78
13254;135.00;25
11865;135.00;5
10346;169.00;5
10344;159.00;3
10345;145.00;3
11434;169.00;3
11432;155.00;2
10088;165.00;4
13005;85.00;43
11372;60.00;193
14001;209.00;3
14003;329.00;2
14002;309.00;4
14000;339.00;1
13841;39.00;30
13838;39.00;50
13839;39.00;8
13840;39.00;6
13845;39.00;4
13842;39.00;20
13843;39.00;1
13147;389.00;2
40023;1090.00;2
12171;1050.00;1
13756;899.00;1
10779;1100.00;1
13270;750.00;1
12322;950.00;1
13271;850.00;1
13272;550.00;1
10778;755.00;5
13345;730.00;1
11612;820.00;1
12643;900.00;1
10781;780.00;3
10776;770.00;8
10777;980.00;10
10716;450.00;7
40115;649.00;4
10765;120.00;5
12896;335.00;3
13859;379.00;1
13115;399.00;2
12490;395.00;1
12813;99.00;3
12814;99.00;2
10373;225.00;6
10350;179.00;4
10349;75.00;13
12138;165.00;6
13342;2990.00;1
12023;315.00;4
40114;55.00;4
13238;55.00;1
13239;50.00;9
13240;45.00;13
13242;395.00;1
10705;250.00;107
11285;140.00;7
10033;145.00;2
40002;185.00;3
11698;45.00;4
11430;220.00;2
13750;95.00;18
12429;79.00;28
13265;75.00;2
12121;95.00;6
13362;85.00;11
12085;39.00;8
30014;149.00;12
30015;69.00;495
30016;79.00;80
11412;155.00;32
40143;129.00;10
10767;99.00;14
12866;350.00;2
12254;245.00;1
12864;85.00;4
12159;140.00;3
12390;130.00;1
11979;325.00;5
11980;499.00;1
12923;175.00;3
13948;149.00;6
13680;229.00;2
13679;229.00;2
13681;349.00;1
13682;229.00;2
13278;385.00;2
13280;335.00;8
13425;485.00;1
12852;295.00;8
12329;279.00;1
12927;395.00;3
12486;245.00;1
12681;245.00;3
12481;245.00;3
12484;245.00;1
12678;245.00;1
12485;245.00;1
12680;245.00;5
12483;245.00;5
12482;245.00;2
13544;245.00;4
10642;260.00;3
10569;220.00;3
10899;145.00;2
13542;329.00;6
13613;645.00;2
13614;645.00;3
13541;645.00;1
10538;95.00;1
10885;375.00;2
11411;420.00;5
13277;165.00;5
10876;220.00;1
30025;135.00;2
10517;135.00;1
30024;125.00;3
12953;185.00;1
10582;190.00;2
10878;155.00;2
10543;300.00;1
10632;270.00;1
12951;185.00;3
10556;250.00;1
12952;195.00;1
12950;195.00;2
12698;329.00;7
10515;1190.00;1
10635;245.00;1
12962;585.00;2
12949;285.00;1
10626;400.00;1
13315;145.00;2
13386;225.00;2
10629;290.00;1
10548;345.00;1
10658;550.00;1
10637;245.00;3
10633;275.00;3
10555;190.00;1
10655;265.00;4
10636;135.00;1
10656;225.00;2
10657;190.00;1
10553;235.00;6
10651;350.00;3
10536;185.00;2
10522;165.00;3
12957;425.00;4
10873;455.00;8
10546;465.00;1
11527;435.00;5
11488;465.00;2
10530;95.00;1
10342;175.00;9
11991;115.00;1
11611;260.00;4
12917;645.00;3
11929;645.00;4
11925;745.00;2
11944;565.00;3
10829;285.00;5
10741;219.00;12
10740;359.00;14
10738;239.00;16
10737;349.00;48
10736;189.00;31
12975;229.00;3
10739;339.00;4
12980;95.00;1
12780;229.00;8
40082;259.00;4
12357;1050.00;4
12431;1350.00;1
12645;245.00;2
11180;289.00;1
11204;299.00;1
11202;315.00;2
11203;199.00;2
12683;209.00;4
12981;259.00;5
10860;145.00;9
40116;245.00;4
12345;310.00;3
11489;245.00;9
11575;369.00;9
40137;889.00;2
13660;395.00;3
10769;929.00;4
10773;429.00;5
13610;899.00;9
11744;65.00;61
11856;259.00;4
11183;489.00;5
13777;415.00;1
13745;790.00;1
11939;299.00;5
12646;1330.00;1
40071;155.00;3
12417;345.00;3
10919;129.00;4
12073;219.00;3
40050;229.00;4
13025;119.00;27
13317;169.00;2
30002;60.00;51
40096;145.00;4
40095;125.00;3
13319;185.00;14
13318;195.00;3
12816;135.00;4
13321;179.00;11
12818;179.00;3
30030;145.00;1
12309;169.00;9
10688;70.00;5
10508;180.00;1
13320;185.00;6
13547;159.00;1
13806;109.00;1
13794;109.00;3
13796;109.00;2
13793;109.00;2
13661;189.00;2
12505;198.00;1
12515;198.00;3
12494;198.00;1
12519;198.00;2
12493;198.00;1
12509;108.00;1
13795;109.00;3
13798;109.00;2
12507;108.00;2
12506;108.00;1
12510;108.00;1
13667;119.00;1
13668;119.00;3
12503;108.00;2
13812;209.00;1
13802;209.00;2
13805;209.00;1
13803;209.00;2
13800;209.00;2
13810;209.00;3
13799;209.00;1
13801;209.00;2
12932;285.00;3
12931;265.00;1
12929;275.00;2
12907;165.00;30
11414;490.00;2
13574;145.00;8
12686;175.00;2
13290;89.00;9
40121;79.00;10
13289;85.00;4
13565;115.00;20
13007;80.00;3
13274;25.00;21
10270;28.00;14
13015;69.00;44
11502;69.00;17
13013;69.00;11
13010;69.00;19
12557;69.00;39
13012;69.00;8
13014;69.00;26
13009;69.00;46
11501;48.00;30
11499;38.00;24
11886;55.00;91
11508;35.00;39
10301;65.00;21
10305;72.00;53
12971;36.00;36
12972;42.00;41
12090;49.00;11
10304;56.00;34
13113;47.00;5
11449;69.00;60
13114;54.00;5
10294;29.00;53
10302;72.00;54
10295;34.00;65
10296;43.00;33
10297;45.00;47
10298;53.00;25
10300;64.00;32
12471;22.00;66
10307;28.00;59
10306;19.00;58
12655;42.00;86
13564;115.00;25
12535;15.00;65
11484;165.00;3
11485;135.00;3
11930;135.00;1
12915;125.00;3
12632;399.00;1
30019;289.00;13
10700;65.00;51
10265;260.00;72
40075;685.00;1
40105;149.00;9
12662;195.00;1
12657;375.00;1
13487;279.00;4
13249;119.00;3
13864;179.00;3
40118;335.00;3
40120;299.00;2
10893;445.00;6
10504;290.00;1
10859;385.00;2
12448;290.00;1
12800;425.00;1
40117;299.00;3
40119;299.00;2
12903;185.00;3
12901;185.00;2
12902;185.00;2
13946;109.00;1
12921;395.00;3
13043;149.00;6
12267;150.00;1
