Наименование;Наименование артикула;Артикул;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Цвет;Объем встроенной памяти;Размер;Изображения;Изображения
Лаванда сушеная Бутоны LUX 40 гр;13539;13539;RUB;129;1;;;5;;;;1;;;;;;;;;;;;;
Лента атласная  12 мм 23 м;ЛA12;ЛA12;RUB;65;1;;;102;;;;1;;;;;;;;;;;;;
Лента атласная 25 мм 23 м;ЛA25;ЛA25;RUB;110;1;;;160;;;;1;;;;;;;;;;;;;
Лента атласная 40 мм 23 м;ЛA40;ЛA40;RUB;160;1;;;2;;;;1;;;;;;;;;;;;;
Лента атласная 50 мм 23 м;ЛA50;ЛA50;RUB;200;1;;;9;;;;1;;;;;;;;;;;;;
Лента атласная 6 мм 23 м;ЛA06;ЛA06;RUB;45;1;;;242;;;;1;;;;;;;;;;;;;
Лента атласная декоративная 10 мм 50 м;ЛAД10;ЛAД10;RUB;220;1;;;3;;;;1;;;;;;;;;;;;;
Лента атласная декоративная 20 мм 23 м;ЛAД20;ЛAД20;RUB;250;1;;;1;;;;1;;;;;;;;;;;;;
Лента бордюрная 200 мкм h 150мм 5м Pasticciere;11496;11496;RUB;205;1;;;3;;;;1;;;;;;;;;;;;;
Лента бордюрная 5м w-150 мкм, h100 мм;10312;10312;RUB;119;1;;;1;;;;1;;;;;;;;;;;;;
Лента бордюрная в рулоне 5м, h 180 мм, w=200 мкм;13310;13310;RUB;239;1;;;4;;;;1;;;;;;;;;;;;;
Ложка для декорирования;11715;11715;RUB;95;1;;;1;;;;1;;;;;;;;;;;;;
Ложмент 45*145 мм белый;13095;13095;RUB;3;1;;;8;;;;1;;;;;;;;;;;;;
Ложмент для коробки 205*110*55 мм;13094;13094;RUB;3;1;;;26;;;;1;;;;;;;;;;;;;
Лопатка для переноски торта;12924;12924;RUB;435;1;;;2;;;;1;;;;;;;;;;;;;
Лопатка для торта 210х210 мм;10491;10491;RUB;585;1;;;1;;;;1;;;;;;;;;;;;;
Лопатка изогнутая 15см;;;RUB;220;1;;;1;;;;1;;;;;;;;;;;;;
Лопатка кондитерская силиконовая;11470;11470;RUB;155;1;;;10;;;;1;;;;;;;;;;;;;
Лопатка металическая пластиковая ручка 20 см;;;RUB;260;1;;;5;;;;1;;;;;;;;;;;;;
Лопатка металическая прямая 150 мм;11384;11384;RUB;195;1;;;2;;;;1;;;;;;;;;;;;;
Лопатка металическая прямая 200 мм;11383;11383;RUB;215;1;;;2;;;;1;;;;;;;;;;;;;
Лопатка металическая прямая 250 мм;11704;11704;RUB;245;1;;;6;;;;1;;;;;;;;;;;;;
Лопатка металическая прямая 300 мм;11382;11382;RUB;265;1;;;5;;;;1;;;;;;;;;;;;;
Лопатка металическая с изгибом 300 мм;11379;11379;RUB;194;1;;;8;;;;1;;;;;;;;;;;;;
Лопатка прямая с метал. ручкой 150 мм;12885;12885;RUB;245;1;;;4;;;;1;;;;;;;;;;;;;
Лопатка силиконовая 21см;;;RUB;145;1;;;8;;;;1;;;;;;;;;;;;;
Лопатка силиконовая 28см;;;RUB;225;1;;;4;;;;1;;;;;;;;;;;;;
Лопатка силиконовая 34*7 см;11650;11650;RUB;280;1;;;6;;;;1;;;;;;;;;;;;;
Малина  сублимированная кусочки 3-5 мм 50 гр;11770;11770;RUB;259;1;;;4;;;;1;;;;;;;;;;;;;
Малина пюре 250 гр;13648;13648;RUB;169;1;;;5;;;;1;;;;;;;;;;;;;
Малина сублимационной сушки порошок 50 гр;12785;12785;RUB;269;1;;;9;;;;1;;;;;;;;;;;;;
Манго пюре 250 гр;13649;13649;RUB;179;1;;;5;;;;1;;;;;;;;;;;;;
Манго пюре1000 гр AGROBAR;;;RUB;589;1;;;1;;;;1;;;;;;;;;;;;;
Маракуйя пюре 1000гр AGROBAR;;;RUB;689;1;;;3;;;;1;;;;;;;;;;;;;
Маракуйя пюре 250 гр;13650;13650;RUB;189;1;;;10;;;;1;;;;;;;;;;;;;
Маркер для добавки чернил 1шт;11961;11961;RUB;135;1;;;7;;;;1;;;;;;;;;;;;;
Маркер пишевой Цвнт чёрный 2 шт;12374;12374;RUB;169;1;;;2;;;;1;;;;;;;;;;;;;
Маркер пищевой цветной 5 шт;10832;10832;RUB;279;1;;;1;;;;1;;;;;;;;;;;;;
Маркер с добавкой черниль 3шт;12385;12385;RUB;245;1;;;1;;;;1;;;;;;;;;;;;;
Масло вес Беларусь 82,5%;40000;40000;RUB;420;1;;;4.153;;;;1;;;;;;;;;;;;;
Масло сливочное Тысяча озер 400гр 82,5%;;;RUB;295;1;;;22;;;;1;;;;;;;;;;;;;
Масло сливочное экомилк 450гр;1314;1314;RUB;320;1;;;1;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Айвори 0,25 кг;13166;13166;RUB;105;1;;;4;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Бежевая 0,25 кг;12738;12738;RUB;105;1;;;5;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Бирюзовая 0,25 кг;12739;12739;RUB;105;1;;;3;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Бордовая 0,25 кг;12740;12740;RUB;105;1;;;6;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Жёлтая 0,25 кг;10032;10032;RUB;105;1;;;5;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Коричневый, 0,5 кг;0009;0009;RUB;185;1;;;4;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Светло синяя 0,25 кг;12741;12741;RUB;105;1;;;5;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Сиреневая 0,25 кг;12742;12742;RUB;105;1;;;4;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Темно зеленая 0,25 кг;12743;12743;RUB;105;1;;;7;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Темно синяя 0,25 кг;12744;12744;RUB;105;1;;;4;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет Ярко розовая 0,25 кг;12745;12745;RUB;105;1;;;6;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет белый, 0,25 кг;1110;1110;RUB;105;1;;;52;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет белый, 0,5 кг;0007;0007;RUB;185;1;;;21;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет белый, 1 кг;0004;0004;RUB;295;1;;;4;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет белый, 2 кг;0005;0005;RUB;580;1;;;4;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет голубой, 0,25кг;11909;11909;RUB;105;1;;;5;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет желтая, 0,5 кг;0024;0024;RUB;185;1;;;2;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет индиго, 0,25кг;13502;13502;RUB;105;1;;;3;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет капуччино 0,25 кг;13503;13503;RUB;105;1;;;6;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет коричневый, 0,25 кг;1192;1192;RUB;105;1;;;12;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет красный 0,5 кг;0016;0016;RUB;185;1;;;1;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет красный, 0,25 кг;1190;1190;RUB;105;1;;;21;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет мята, 0,25 кг;;;RUB;105;1;;;6;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет оранжевы, 0,5 кг;0022;0022;RUB;185;1;;;3;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет оранжевый 0,25 кг;11300;11300;RUB;105;1;;;7;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет светло-розовая 0,25кг;11910;11910;RUB;105;1;;;5;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет светло-розовая, 0,5 кг;0018;0018;RUB;185;1;;;1;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет светло-серая 0,25кг;13504;13504;RUB;105;1;;;8;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет светло-синяя, 0,5 кг;11528;11528;RUB;185;1;;;3;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет синяя, 0,5 кг;0011;0011;RUB;185;1;;;4;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет тёмно синяя, 0,5  кг;0012;0012;RUB;185;1;;;1;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет тровянисто-зеленый 0,25кг;11911;11911;RUB;105;1;;;6;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет тровянисто-зеленый 0,5 кг;0017;0017;RUB;185;1;;;3;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет фуксия, 0,25 кг;13505;13505;RUB;105;1;;;5;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет черный 0,5 кг;0008;0008;RUB;220;1;;;2;;;;1;;;;;;;;;;;;;
Мастика Сладкий шелк, цвет черный, 0,25 кг;1193;1193;RUB;125;1;;;4;;;;1;;;;;;;;;;;;;
Мастика сахарная Кружево белое 100гр;13576;13576;RUB;175;1;;;9;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет белый, 0,6 кг;0028;0028;RUB;195;1;;;4;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет белый, 6 кг;0006;0006;RUB;1600;1;;;6;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет бордовый , 0,6 кг;0611;0611;RUB;195;1;;;7;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет голубой, 0,6 кг;0767;0767;RUB;195;1;;;4;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет желтый, 0,6 кг;0768;0768;RUB;195;1;;;4;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет зеленый , 0,6 кг;10041;10041;RUB;195;1;;;8;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет коричневый, 0,6 кг;10042;10042;RUB;195;1;;;2;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет красный, 0,6 кг;10039;10039;RUB;195;1;;;2;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет оранжевый, 0,6 кг;12696;12696;RUB;195;1;;;6;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет пурпурный (фуксия) 0,6 кг;13158;13158;RUB;195;1;;;4;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет розовый, 0,6 кг;10046;10046;RUB;195;1;;;8;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет фиолетовый, 0,6 кг;10045;10045;RUB;195;1;;;2;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цвет черный, 0,6 кг;10038;10038;RUB;195;1;;;6;;;;1;;;;;;;;;;;;;
Мастика сахарная Топ Декор, цветочная белая, 0,6 кг;0030;0030;RUB;195;1;;;6;;;;1;;;;;;;;;;;;;
Мастихин №2;11713;11713;RUB;95;1;;;3;;;;1;;;;;;;;;;;;;
Мастихин №4;13303;13303;RUB;95;1;;;2;;;;1;;;;;;;;;;;;;
Мат для моделирования и сушки цветов 25х20см;11936;11936;RUB;195;1;;;3;;;;1;;;;;;;;;;;;;
Межъярусный палочки d-10мм h-40см;30018;30018;RUB;12;1;;;459;;;;1;;;;;;;;;;;;;
Межъярусный палочки d-10мм h-80см;30017;30017;RUB;20;1;;;168;;;;1;;;;;;;;;;;;;
Межъярусный палочки d5,4 мм 38 см;10684;10684;RUB;10;1;;;98;;;;1;;;;;;;;;;;;;
Межярусние палочки 30см 4шт;12260;12260;RUB;135;1;;;2;;;;1;;;;;;;;;;;;;
Мешки кондитерские 40см 1шт;13165;13165;RUB;9;1;;;90;;;;1;;;;;;;;;;;;;
Мешки кондитерские 47см 1шт;12716;12716;RUB;13;1;;;74;;;;1;;;;;;;;;;;;;
Мешки кондитерские 55см 1шт;12717;12717;RUB;17;1;;;92;;;;1;;;;;;;;;;;;;
Мешки кондитерские 60см 1шт;12821;12821;RUB;20;1;;;90;;;;1;;;;;;;;;;;;;
Миндалние лепестки  200гр;0660;0660;RUB;295;1;;;3;;;;1;;;;;;;;;;;;;
Миндальная мука 300 гр;12796;12796;RUB;395;1;;;1;;;;1;;;;;;;;;;;;;
Миндальная мука 500 гр;0119;0119;RUB;595;1;;;4;;;;1;;;;;;;;;;;;;
Молд вайнер;12871;12871;RUB;195;1;;;6;;;;1;;;;;;;;;;;;;
Молд ключи;12604;12604;RUB;185;1;;;2;;;;1;;;;;;;;;;;;;
Молд корона;12959;12959;RUB;275;1;;;10;;;;1;;;;;;;;;;;;;
Молд машинкы;12961;12961;RUB;165;1;;;4;;;;1;;;;;;;;;;;;;
Молд младенец 3 шт;;;RUB;235;1;;;1;;;;1;;;;;;;;;;;;;
Молд русалка;12966;12966;RUB;325;1;;;3;;;;1;;;;;;;;;;;;;
Молд силикон кресты;12389;12389;RUB;195;1;;;2;;;;1;;;;;;;;;;;;;
Молд силиконовый 11?7,5 см "Пистолет";;;RUB;155;1;;;2;;;;1;;;;;;;;;;;;;
Молд силиконовый 12,5?5 см "Цифра в шаре", цвет МИКС;11621;11621;RUB;185;1;;;2;;;;1;;;;;;;;;;;;;
Молд силиконовый 21,3?10,6 см "Пуговицы";;;RUB;389;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый Happy Birthday, 6,5х5,5 см;;;RUB;88;1;;;2;;;;1;;;;;;;;;;;;;
Молд силиконовый «Крылья», 76,5 см;;;RUB;129;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый «Лепесток тюльпана», 2 части, 5,1х3,8 см;;;RUB;88;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый «Лепесток яблони», 2 части, 5,1х3,8 см;;;RUB;109;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый «Лист тропических растений», 2 части, 6,5х4х2,3 см;;;RUB;119;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый «Радуга», 10,5х6х1 см;;;RUB;199;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый «Ракушка», 6х6х2,5 см;;;RUB;199;1;;;2;;;;1;;;;;;;;;;;;;
Молд силиконовый «Цифры. Готика», 8,9х5,1х0,7 см;;;RUB;129;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый Канапля;10898;10898;RUB;225;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый Рамка 4 шт;10884;10884;RUB;355;1;;;6;;;;1;;;;;;;;;;;;;
Молд силиконовый Цепь;10882;10882;RUB;415;1;;;4;;;;1;;;;;;;;;;;;;
Молд силиконовый два ангел;11466;11466;RUB;325;1;;;5;;;;1;;;;;;;;;;;;;
Молд силиконовый узори;10890;10890;RUB;320;1;;;4;;;;1;;;;;;;;;;;;;
Молд силиконовый узори;10864;10864;RUB;430;1;;;1;;;;1;;;;;;;;;;;;;
Молд силиконовый цифры с подставкой;13373;13373;RUB;295;1;;;2;;;;1;;;;;;;;;;;;;
Молд узор;12964;12964;RUB;235;1;;;6;;;;1;;;;;;;;;;;;;
Молд узор;12967;12967;RUB;345;1;;;5;;;;1;;;;;;;;;;;;;
Молочная глазурь Шокомилк 44 500 гр;12695;12695;RUB;139;1;;;24;;;;1;;;;;;;;;;;;;
Молочный шоколад  33.6% Barry Callebaut 250 гр;11855;11855;RUB;289;1;;;3;;;;1;;;;;;;;;;;;;
Молочный шоколад  33.6% Barry Callebaut 500 гр;11182;11182;RUB;539;1;;;7;;;;1;;;;;;;;;;;;;
Мталическая вырубка цыфри 5см;11397;11397;RUB;350;1;;;4;;;;1;;;;;;;;;;;;;
НАбор вырубкы мозайка;12845;12845;RUB;245;1;;;6;;;;1;;;;;;;;;;;;;
Набор Вирубок Футбол;12150;12150;RUB;225;1;;;5;;;;1;;;;;;;;;;;;;
Набор Вырубок мики маус;12151;12151;RUB;175;1;;;5;;;;1;;;;;;;;;;;;;
Набор Разъёмних форм квадрат 24,26,28см;;;RUB;790;1;;;1;;;;1;;;;;;;;;;;;;
Набор вырубки детьски;12149;12149;RUB;275;1;;;5;;;;1;;;;;;;;;;;;;
Набор вырубков Ёлочка 3 шт,Рожд. 4шт,Снеж. 5шт,НГ 6шт;10674;10674;RUB;249;1;;;2;;;;1;;;;;;;;;;;;;
Набор вырубок 5 шт;12948;12948;RUB;99;1;;;14;;;;1;;;;;;;;;;;;;
Набор для кондитера универсал;12899;12899;RUB;475;1;;;2;;;;1;;;;;;;;;;;;;
Набор для моделирования кондитерских украшений 3шт;10828;10828;RUB;150;1;;;1;;;;1;;;;;;;;;;;;;
Набор для моделирования кондитерских украшений, 4 шт,;10880;10880;RUB;120;1;;;1;;;;1;;;;;;;;;;;;;
Набор для моделирования метал. 4 шт;;;RUB;265;1;;;1;;;;1;;;;;;;;;;;;;
Набор для печати хвост русалки 2шт;11931;11931;RUB;125;1;;;12;;;;1;;;;;;;;;;;;;
Набор для фор пуш-попсоп круг 3шт;11721;11721;RUB;155;1;;;2;;;;1;;;;;;;;;;;;;
Набор инструментов для создания шаблонов;12898;12898;RUB;205;1;;;5;;;;1;;;;;;;;;;;;;
Набор колец для выпечки 3 шт;12904;12904;RUB;215;1;;;1;;;;1;;;;;;;;;;;;;
Набор колец для выпечки перфорированных 6 шт;13377;13377;RUB;1250;1;;;1;;;;1;;;;;;;;;;;;;
Набор кондитерских насадков 42шт.;0320;0320;RUB;800;1;;;1;;;;1;;;;;;;;;;;;;
Набор кондитерских насадков 5 шт;11932;11932;RUB;385;1;;;3;;;;1;;;;;;;;;;;;;
Набор мастихин 5шт;11935;11935;RUB;420;1;;;3;;;;1;;;;;;;;;;;;;
Набор мерных емкостей Pesto, 4 шт:;11014;11014;RUB;210;1;;;1;;;;1;;;;;;;;;;;;;
Набор металлических форм прямоугольных 3 шт;13298;13298;RUB;430;1;;;1;;;;1;;;;;;;;;;;;;
Набор насадок 12 шт;12410;12410;RUB;950;1;;;2;;;;1;;;;;;;;;;;;;
Набор насадок 26шт +гвоздик;;;RUB;575;1;;;2;;;;1;;;;;;;;;;;;;
Набор насадок кондитерских для декорирования;;;RUB;585;1;;;2;;;;1;;;;;;;;;;;;;
Набор насадок с мешком и переходником 8шт;12941;12941;RUB;455;1;;;5;;;;1;;;;;;;;;;;;;
Набор насадок с пееходником;12837;12837;RUB;455;1;;;6;;;;1;;;;;;;;;;;;;
Набор насадок эклер+переходник;12413;12413;RUB;285;1;;;7;;;;1;;;;;;;;;;;;;
Набор палочек-дюбелей  10 см 25 шт;10500;10500;RUB;65;1;;;7;;;;1;;;;;;;;;;;;;
Набор палочек-дюбелей  15 см 25 шт;10499;10499;RUB;85;1;;;17;;;;1;;;;;;;;;;;;;
Набор палочек-дюбелей цветные 15 см 25 шт;13676;13676;RUB;95;1;;;1;;;;1;;;;;;;;;;;;;
Набор пластиковых форм для создания тела ребенка;0302;0302;RUB;310;1;;;1;;;;1;;;;;;;;;;;;;
Набор плунжеров кондитерских "Бантик", 3 шт;;;RUB;105;1;;;1;;;;1;;;;;;;;;;;;;
Набор плунжеров кондитерских "Бутылочка", 4 шт;;;RUB;135;1;;;1;;;;1;;;;;;;;;;;;;
Набор плунжеров кондитерских "Кружева сердце", 3 шт;;;RUB;115;1;;;1;;;;1;;;;;;;;;;;;;
Набор плунжеров кондитерских "Омела", 3 шт: 7/6/5,5х4 см;;;RUB;95;1;;;2;;;;1;;;;;;;;;;;;;
Набор плунжеров кондитерских "Треугольник", 4 шт;;;RUB;125;1;;;1;;;;1;;;;;;;;;;;;;
Набор плунжеров кондитерских "Цветок", 3 шт;;;RUB;115;1;;;1;;;;1;;;;;;;;;;;;;
Набор плунжеров кондитерских 12x12x5 см "Сладости", 4 шт;;;RUB;175;1;;;1;;;;1;;;;;;;;;;;;;
Набор плунжером 2 шт;12848;12848;RUB;245;1;;;6;;;;1;;;;;;;;;;;;;
Набор приспособлений для кондитерских украшений 10шт маленкий;12918;12918;RUB;285;1;;;2;;;;1;;;;;;;;;;;;;
Набор приспособлений для моделирования кондитерских украшений 10шт;11024;11024;RUB;325;1;;;3;;;;1;;;;;;;;;;;;;
Набор разъемных форм для куличей;;;RUB;795;1;;;1;;;;1;;;;;;;;;;;;;
Набор силиконовых молдов 3д Алмазы 2 шт;13143;13143;RUB;229;1;;;5;;;;1;;;;;;;;;;;;;
Набор скребков кондитерских, 3 шт;11596;11596;RUB;285;1;;;1;;;;1;;;;;;;;;;;;;
Набор стеков для моделирования 5шт;11737;11737;RUB;220;1;;;1;;;;1;;;;;;;;;;;;;
Набор тортовых свечей "Фонтаны" 10 см (2 шт) БЛИСТЕР;12324;12324;RUB;125;1;;;5;;;;1;;;;;;;;;;;;;
Набор трафаретов Мишки love;12500;12500;RUB;445;1;;;1;;;;1;;;;;;;;;;;;;
Набор форм для выпечки мафин и вырубка для пряников;;;RUB;550;1;;;1;;;;1;;;;;;;;;;;;;
Набор форм для выпечки разъемных 6шт 18/20/22/24/26/28;10723;10723;RUB;1200;1;;;4;;;;1;;;;;;;;;;;;;
Набор форм для выпечки разъемных Сердце 3 шт;13480;13480;RUB;780;1;;;1;;;;1;;;;;;;;;;;;;
Насадка для кондитерского мешка d=4,2 см Султан;10787;10787;RUB;150;1;;;4;;;;1;;;;;;;;;;;;;
Насадка кондитерская;0100;0100;RUB;100;1;;;94;;;;1;;;;;;;;;;;;;
Насадка кондитерская для эклеров;10789;10789;RUB;125;1;;;3;;;;1;;;;;;;;;;;;;
Нож для резки пицци и Теста;11947;11947;RUB;175;1;;;9;;;;1;;;;;;;;;;;;;
Нож пила для бисквита 200мм м;12881;12881;RUB;255;1;;;3;;;;1;;;;;;;;;;;;;
Нож пила для бисквита 350мм м;11710;11710;RUB;315;1;;;1;;;;1;;;;;;;;;;;;;
Одноразовые кондитерские мешки 27 см 100 шт;0417;0417;RUB;190;1;;;25;;;;1;;;;;;;;;;;;;
Одноразовые кондитерские мешки 32 см 100 шт;0418;0418;RUB;210;1;;;21;;;;1;;;;;;;;;;;;;
Одноразовые кондитерские мешки 37 см 100 шт;0419;0419;RUB;240;1;;;16;;;;1;;;;;;;;;;;;;
Пакет Большой;4;4;RUB;4;1;;;582;;;;1;;;;;;;;;;;;;
Пакет крафт  ECO BAG 22x12x29 см;;;RUB;6;1;;;50;;;;1;;;;;;;;;;;;;
Пакет крафт с ручками 32х20х37 см;;;RUB;19;1;;;40;;;;1;;;;;;;;;;;;;
Пакет крафт с ручками ECO CarrBag TW 24x14x28см;;;RUB;16;1;;;23;;;;1;;;;;;;;;;;;;
Пакет крафт с ручками ECO CarrBag TW 26х15х35 см;;;RUB;18;1;;;20;;;;1;;;;;;;;;;;;;
Пакет маленький;2;2;RUB;3;1;;;966;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 10x15 см. (50шт);П1015;П1015;RUB;65;1;;;1;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 10x20 см. (50шт ) +/- 3шт;П1020;П1020;RUB;89;1;;;1;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 10x25 см. 50шт +/-3;;;RUB;89;1;;;1;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 15x25 см. (50шт) +/- 3шт;П1525;П1525;RUB;99;1;;;9;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 15х20см. (50шт) +/- шт;П1520;П1520;RUB;89;1;;;5;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 15х40 см. (25шт);П1540;П1540;RUB;105;1;;;4;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 16x30 см. (25шт);13579;13579;RUB;110;1;;;1;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 18x20 см. (50шт) +/- 3шт;13585;13585;RUB;145;1;;;1;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 18х21 см. (50шт);;;RUB;99;1;;;4;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 6x10 см. (50шт);;;RUB;45;1;;;7;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 7x11 см. (50шт);11903;11903;RUB;55;1;;;5;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 7x15 см. 50шт+/-3;;;RUB;53;1;;;13;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 8х11см 50шт;П811;П811;RUB;59;1;;;1;;;;1;;;;;;;;;;;;;
Пакет прозрачный без липкого края 9x16 см. (50шт) +/- 3шт;П916;П916;RUB;59;1;;;4;;;;1;;;;;;;;;;;;;
Пакет средний;3;3;RUB;3;1;;;628;;;;1;;;;;;;;;;;;;
Пакети конус 25х40см;12688;12688;RUB;6;1;;;40;;;;1;;;;;;;;;;;;;
Палочки Голубые перламутровые;13501;13501;RUB;175;1;;;4;;;;1;;;;;;;;;;;;;
Палочки Желтые перламутровые 60гр;13499;13499;RUB;175;1;;;6;;;;1;;;;;;;;;;;;;
Палочки Салатовые перламутровые;13500;13500;RUB;175;1;;;1;;;;1;;;;;;;;;;;;;
Палочки белые перламутровые 60гр;13130;13130;RUB;175;1;;;3;;;;1;;;;;;;;;;;;;
Палочки голубые перламутровые 60гр;13132;13132;RUB;175;1;;;3;;;;1;;;;;;;;;;;;;
Палочки деревянные дла мороженого МАГНУМ 50 шт;30023;30023;RUB;95;1;;;3;;;;1;;;;;;;;;;;;;
Палочки деревяные для эскисо 14 см 50шт;10689;10689;RUB;69;1;;;24;;;;1;;;;;;;;;;;;;
Палочки для кейк-попсов пластик 50 шт 150 мм;11500;11500;RUB;125;1;;;49;;;;1;;;;;;;;;;;;;
Палочки золотые перламутровые 60гр;13213;13213;RUB;175;1;;;2;;;;1;;;;;;;;;;;;;
Палочки розовые перламутровые 60гр;13133;13133;RUB;175;1;;;2;;;;1;;;;;;;;;;;;;
Палочки фиолетовые перламутровые 60гр;13131;13131;RUB;175;1;;;4;;;;1;;;;;;;;;;;;;
Паста Фисташковая 100 гр;10759;10759;RUB;495;1;;;2;;;;1;;;;;;;;;;;;;
Паста десертная Делипаст КИВИ;13103;13103;RUB;275;1;;;5;;;;1;;;;;;;;;;;;;
Паста десертная Делипаст КЛУБНИКА;13101;13101;RUB;245;1;;;5;;;;1;;;;;;;;;;;;;
Паста десертная Делипаст ЛЕСНАЯ ЯГОДА 100гр;13006;13006;RUB;229;1;;;5;;;;1;;;;;;;;;;;;;
Паста десертная Делипаст МАЛИНА;13104;13104;RUB;325;1;;;5;;;;1;;;;;;;;;;;;;
Паста десертная Делипаст МАНГО;13100;13100;RUB;295;1;;;1;;;;1;;;;;;;;;;;;;
Паста десертная Делипаст МАРАКУЙЯ;13102;13102;RUB;295;1;;;3;;;;1;;;;;;;;;;;;;
Паста для лепки МОДЕЛПАСТ 1 кг;0915;0915;RUB;850;1;;;1;;;;1;;;;;;;;;;;;;
Пектин Яблочный АРА 104 500гр.;;;RUB;990;1;;;1;;;;1;;;;;;;;;;;;;
Пектин яблочный HSA104 100 гр;11173;11173;RUB;285;1;;;4;;;;1;;;;;;;;;;;;;
Пектин яблочный HSA104 70 гр;11785;11785;RUB;230;1;;;7;;;;1;;;;;;;;;;;;;
